product_id,product_name,description,price,discount_percentage,category,brand,stock_quantity,color,size,weight,dimensions,release_date,rating,reviews_count,seller_name,seller_rating,seller_reviews_count,shipping_method,shipping_cost
1,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,156.87,30.38,electronics,ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor,393,Fuscia,small,0.2,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in,2019-08-27,3.3,702,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis,4.8,749,express,15.31
2,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",479.58,43.94,toys,risus praesent lectus vestibulum quam sapien varius ut blandit non,458,Green,medium,8.9,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa,2018-04-10,3.1,73,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum,4.3,174,standard,12.96
3,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,918.96,2.88,toys,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim,114,Blue,large,4.7,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam,2020-03-31,4.4,650,in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,1.6,204,free,30.97
4,turpis a pede posuere nonummy integer non velit donec diam neque vestibulum,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.",448.56,37.05,electronics,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,528,Crimson,small,1.0,duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit,2020-07-06,4.1,121,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit,3.8,582,standard,21.67
5,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",343.1,11.92,toys,consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis,457,Yellow,medium,2.0,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate,2015-02-18,4.9,730,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,4.1,128,free,20.82
6,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",949.23,4.05,electronics,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,74,Blue,small,7.5,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at,2013-08-17,4.9,942,in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus,3.4,489,free,40.72
7,turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.",183.39,35.02,beauty,nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh,720,Blue,medium,6.3,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna,2012-07-13,3.9,849,proin leo odio porttitor id consequat in consequat ut nulla sed,3.6,388,free,0.94
8,mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",503.7,3.52,beauty,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris,160,Pink,medium,5.8,in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio,2018-04-29,1.3,189,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra,2.2,347,free,31.21
9,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",531.69,38.72,toys,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,888,Khaki,extra large,4.0,condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam,2021-05-26,4.6,263,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi,3.0,857,free,40.89
10,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",597.18,24.01,beauty,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,807,Green,extra large,4.1,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam,2021-10-22,4.4,878,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam,2.6,945,express,37.78
11,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis,"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",112.51,10.28,electronics,tortor duis mattis egestas metus aenean fermentum donec ut mauris,494,Khaki,extra large,7.6,tortor id nulla ultrices aliquet maecenas leo odio condimentum id,2015-08-08,1.5,445,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris,2.3,568,express,26.05
12,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus,"Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",298.92,42.36,clothing,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis,724,Indigo,small,0.1,suscipit a feugiat et eros vestibulum ac est lacinia nisi,2020-07-22,2.8,943,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante,1.2,53,standard,45.57
